INFO  - 2015-12-10 13:03:00.867; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70263 (1520171987359498240)]} 0 3
INFO  - 2015-12-10 13:03:00.978; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70264 (1520171987476938752)]} 0 1
INFO  - 2015-12-10 13:03:01.030; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70265 (1520171987528318976)]} 0 4
INFO  - 2015-12-10 13:03:01.077; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70267 (1520171987579699200)]} 0 2
INFO  - 2015-12-10 13:03:01.120; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70268 (1520171987625836544)]} 0 1
INFO  - 2015-12-10 13:03:01.167; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70269 (1520171987675119616)]} 0 1
INFO  - 2015-12-10 13:03:01.212; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70270 (1520171987722305536)]} 0 2
INFO  - 2015-12-10 13:03:01.259; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70271 (1520171987771588608)]} 0 1
INFO  - 2015-12-10 13:03:01.593; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70272 (1520171987819823104)]} 0 290
INFO  - 2015-12-10 13:03:01.665; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70273 (1520171988197310464)]} 0 1
INFO  - 2015-12-10 13:03:01.709; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70274 (1520171988243447808)]} 0 1
INFO  - 2015-12-10 13:03:01.754; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70275 (1520171988290633728)]} 0 1
INFO  - 2015-12-10 13:03:02.003; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70277 (1520171988550680576)]} 0 3
INFO  - 2015-12-10 13:03:02.132; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70278 (1520171988686995456)]} 0 1
INFO  - 2015-12-10 13:03:02.177; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70279 (1520171988733132800)]} 0 2
INFO  - 2015-12-10 13:03:02.220; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70280 (1520171988779270144)]} 0 1
INFO  - 2015-12-10 13:03:02.268; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70281 (1520171988829601792)]} 0 1
INFO  - 2015-12-10 13:03:02.312; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70282 (1520171988875739136)]} 0 1
INFO  - 2015-12-10 13:03:02.361; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70283 (1520171988927119360)]} 0 1
INFO  - 2015-12-10 13:03:02.410; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70284 (1520171988977451008)]} 0 2
INFO  - 2015-12-10 13:03:02.454; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70285 (1520171989024636928)]} 0 1
INFO  - 2015-12-10 13:03:02.614; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70287 (1520171989149417472)]} 0 42
INFO  - 2015-12-10 13:03:02.667; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70288 (1520171989246935040)]} 0 2
INFO  - 2015-12-10 13:03:02.668; org.apache.solr.update.DirectUpdateHandler2; start commit{,optimize=false,openSearcher=true,waitSearcher=true,expungeDeletes=false,softCommit=false,prepareCommit=false}
INFO  - 2015-12-10 13:03:03.298; org.apache.solr.core.SolrDeletionPolicy; SolrDeletionPolicy.onCommit: commits: num=2
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Applications/MAMP/solr4.6/omeka/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@56ad4264; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_alx,generation=13749}
	commit{dir=NRTCachingDirectory(org.apache.lucene.store.NIOFSDirectory@/Applications/MAMP/solr4.6/omeka/data/index lockFactory=org.apache.lucene.store.NativeFSLockFactory@56ad4264; maxCacheMB=48.0 maxMergeSizeMB=4.0),segFN=segments_aly,generation=13750}
INFO  - 2015-12-10 13:03:03.298; org.apache.solr.core.SolrDeletionPolicy; newest commit generation = 13750
INFO  - 2015-12-10 13:03:03.303; org.apache.solr.search.SolrIndexSearcher; Opening Searcher@6aa9d8bc main
INFO  - 2015-12-10 13:03:03.304; org.apache.solr.core.QuerySenderListener; QuerySenderListener sending requests to Searcher@6aa9d8bc main{StandardDirectoryReader(segments_aly:52785:nrt _jbz(4.6):C17500 _jg9(4.6):C7702 _jis(4.6):C10398 _jj2(4.6):C1000 _jjm(4.6):C1000 _jjc(4.6):C1000 _jk6(4.6):C1000 _jjw(4.6):C1000 _jkg(4.6):C1000 _jkq(4.6):C1000 _jkk(4.6):C100 _jko(4.6):C100 _jkr(4.6):C100 _jks(4.6):C100 _jkt(4.6):C100 _jku(4.6):C100 _jkv(4.6):C100 _jkw(4.6):C100 _jkx(4.6):C100 _jky(4.6):C100 _jkz(4.6):C100 _jl1(4.6):C100 _jl2(4.6):C100 _jl3(4.6):C100)}
INFO  - 2015-12-10 13:03:03.304; org.apache.solr.update.DirectUpdateHandler2; end_commit_flush
INFO  - 2015-12-10 13:03:03.304; org.apache.solr.core.QuerySenderListener; QuerySenderListener done.
INFO  - 2015-12-10 13:03:03.306; org.apache.solr.core.SolrCore; [omeka] Registered new searcher Searcher@6aa9d8bc main{StandardDirectoryReader(segments_aly:52785:nrt _jbz(4.6):C17500 _jg9(4.6):C7702 _jis(4.6):C10398 _jj2(4.6):C1000 _jjm(4.6):C1000 _jjc(4.6):C1000 _jk6(4.6):C1000 _jjw(4.6):C1000 _jkg(4.6):C1000 _jkq(4.6):C1000 _jkk(4.6):C100 _jko(4.6):C100 _jkr(4.6):C100 _jks(4.6):C100 _jkt(4.6):C100 _jku(4.6):C100 _jkv(4.6):C100 _jkw(4.6):C100 _jkx(4.6):C100 _jky(4.6):C100 _jkz(4.6):C100 _jl1(4.6):C100 _jl2(4.6):C100 _jl3(4.6):C100)}
INFO  - 2015-12-10 13:03:03.306; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {commit=} 0 638
INFO  - 2015-12-10 13:03:03.390; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70289 (1520171990001909760)]} 0 5
INFO  - 2015-12-10 13:03:03.436; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70290 (1520171990054338560)]} 0 1
INFO  - 2015-12-10 13:03:03.480; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70291 (1520171990100475904)]} 0 1
INFO  - 2015-12-10 13:03:03.528; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70294 (1520171990150807552)]} 0 1
INFO  - 2015-12-10 13:03:03.574; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70295 (1520171990199042048)]} 0 1
INFO  - 2015-12-10 13:03:04.129; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70296 (1520171990778904576)]} 0 4
INFO  - 2015-12-10 13:03:04.178; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70297 (1520171990832381952)]} 0 2
INFO  - 2015-12-10 13:03:04.228; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70298 (1520171990883762176)]} 0 2
INFO  - 2015-12-10 13:03:04.277; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70299 (1520171990936190976)]} 0 1
INFO  - 2015-12-10 13:03:04.379; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70301 (1520171991042097152)]} 0 2
INFO  - 2015-12-10 13:03:04.428; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70302 (1520171991093477376)]} 0 2
INFO  - 2015-12-10 13:03:04.525; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70303 (1520171991193092096)]} 0 4
INFO  - 2015-12-10 13:03:04.571; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70304 (1520171991244472320)]} 0 1
INFO  - 2015-12-10 13:03:04.615; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70305 (1520171991290609664)]} 0 1
INFO  - 2015-12-10 13:03:04.659; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70306 (1520171991336747008)]} 0 1
INFO  - 2015-12-10 13:03:04.705; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70307 (1520171991384981504)]} 0 1
INFO  - 2015-12-10 13:03:04.753; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70309 (1520171991434264576)]} 0 2
INFO  - 2015-12-10 13:03:04.800; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70310 (1520171991483547648)]} 0 2
INFO  - 2015-12-10 13:03:04.850; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70311 (1520171991535976448)]} 0 2
INFO  - 2015-12-10 13:03:04.894; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70312 (1520171991583162368)]} 0 1
INFO  - 2015-12-10 13:03:04.941; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70313 (1520171991631396864)]} 0 2
INFO  - 2015-12-10 13:03:05.040; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70314 (1520171991735205888)]} 0 2
INFO  - 2015-12-10 13:03:05.084; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70315 (1520171991782391808)]} 0 1
INFO  - 2015-12-10 13:03:05.327; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70317 (1520171992035098624)]} 0 3
INFO  - 2015-12-10 13:03:05.393; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70318 (1520171992106401792)]} 0 1
INFO  - 2015-12-10 13:03:05.443; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70319 (1520171992158830592)]} 0 1
INFO  - 2015-12-10 13:03:05.526; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70320 (1520171992244813824)]} 0 2
INFO  - 2015-12-10 13:03:05.574; org.apache.solr.update.processor.LogUpdateProcessor; [omeka] webapp=/solr path=/update params={wt=json} {add=[Item_70321 (1520171992296194048)]} 0 1
